"country_name (S)","date (S)","cancel_public_events (S)","cancel_public_events_notes (NULL)","close_public_transit (S)","close_public_transit_notes (NULL)","confirmed_cases (N)","contact_tracing (S)","contact_tracing_notes (NULL)","international_travel_controls (N)","international_travel_controls_notes (NULL)","region_name (NULL)","restrictions_on_gatherings (S)","restrictions_on_gatherings_notes (NULL)","school_closing_notes (NULL)","stay_at_home_requirements (S)","stay_at_home_requirements_notes (NULL)","workplace_closing (S)","workplace_closing_notes (NULL)"
"China","2020-01-01","0.00","true","0.00","true","0","1.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-02","0.00","true","0.00","true","0","1.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-03","0.00","true","0.00","true","0","1.00","According to the notification of Wuhan health commission, 121 close contacts have been traced and put under medical observation.  Source: https://web.archive.org/web/20200515001615/http://wjw.wuhan.gov.cn/xwzx_28/gsgg/202004/t20200430_1199588.shtml","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-04","0.00","true","0.00","true","0","1.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-05","0.00","true","0.00","true","0","2.00","According to the notification of Wuhan health commission, serious contact tracing is being pursued.   163 close contacts have been traced and put under medical observation.  Source:   https://web.archive.org/web/20200514235719/http://wjw.wuhan.gov.cn/xwzx_28/gsgg/202004/t20200430_1199589.shtml","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-06","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-07","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-08","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-09","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-10","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-11","0.00","true","0.00","true","0","2.00","According to the notification of Wuhan health commission, serious contact tracing is being pursued.   739 close contacts have been traced and put under medical observation.  Source:   https://web.archive.org/web/20200515000039/http://wjw.wuhan.gov.cn/xwzx_28/gsgg/202004/t20200430_1199591.shtml","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-12","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-13","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-14","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-15","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-16","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-17","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-18","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-19","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-20","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-21","0.00","true","0.00","true","0","2.00","true","0","true","true","0.00","true","true","0.00","true","0.00","true"
"China","2020-01-22","2.00","Mass gatherings shall be reduced to the greatest extent.  Source: https://web.archive.org/web/20200124234617/http://www.nhc.gov.cn/wjw/xwdt/202001/ad36526a13dd4c5e93ab9a9f8122ab7f.shtml","0.00","true","547","2.00","true","17","true","true","4.00","The Wuhan Government shall reduce mass gatherings to the greatest extent.  Source: https://web.archive.org/web/20200430215640/http://www.wuhan.gov.cn/sy/whyw/202003/t20200316_960170.shtml","true","0.00","true","0.00","true"
"China","2020-01-23","2.00","Different cities do so at different times. Here is Fuqing http://www.fuqing.gov.cn/xjwz/zwgk/gzdt/202001/t20200130_3190968.htm","2.00","https://m.sohu.com/a/368844312_459893/","639","2.00","""Measures were taken to ensure that all cases were treated, and close contacts were isolated  and put under medical observation."" https://web.archive.org/web/20200228142208/https://www.who.int/docs/default-source/coronaviruse/who-china-joint-mission-on-covid-19-final-report.pdf","18","true","true","4.00","true","true","1.00","To sever the transmission chain, public transport and taxi services in Wuhan is suspended.  Source: https://web.archive.org/web/20200122232607/www.xinhuanet.com/politics/2020-01/23/c_1125495557.htm ; https://web.archive.org/web/20200510205821/http://www.wuhan.gov.cn/zwgk/tzgg/202003/t20200316_972445.shtml","0.00","true"
"China","2020-01-24","2.00","true","2.00","true","916","2.00","true","26","true","true","4.00","true","true","1.00","true","0.00","true"
"China","2020-01-25","2.00","true","2.00","true","1399","2.00","true","42","true","true","4.00","true","true","1.00","true","0.00","true"
"China","2020-01-26","2.00","true","2.00","true","2062","2.00","true","56","true","true","4.00","true","China's State Council on 26 January 2020 required schools of all levels and universities in the mainland China to postpone the starting date of the second term of the 2019/20 academic year. More details would be announced by the Minister of Education later.  https://archive.vn/rVCFr","1.00","true","3.00","The State Council announced that the Spring Festival holiday would be extended to 2 Feburary.  Source: http://www.xinhuanet.com/politics/2020-01/27/c_1125504548.htm?spm=zm5056-001.0.0.1.A6uMqd"
"China","2020-01-27","2.00","true","2.00","true","2863","2.00","true","82","true","true","4.00","true","true","1.00","true","3.00","true"
"China","2020-01-28","2.00","true","2.00","true","5494","2.00","true","131","true","true","4.00","true","true","1.00","true","3.00","true"
"China","2020-01-29","2.00","true","2.00","true","6070","2.00","true","133","true","true","4.00","true","true","1.00","true","3.00","true"
"China","2020-01-30","2.00","true","2.00","true","8124","2.00","true","171","true","true","4.00","true","true","1.00","true","3.00","true"
"China","2020-01-31","2.00","true","2.00","true","9783","2.00","true","213","true","true","4.00","true","true","1.00","true","3.00","true"
"China","2020-02-01","2.00","true","2.00","true","11871","2.00","true","259","true","true","4.00","true","true","3.00","Huanggang Municipality in Hubei Province restricts residents from leaving homes.  Each household is allowed to send one member to buy groceries once every other day only.  Source: https://web.archive.org/web/20200510165548/http://news.stcn.com/2020/0201/15620810.shtml ; https://web.archive.org/web/20200510165939/http://www.rfi.fr/tw/%E4%B8%AD%E5%9C%8B/20200201-%E7%96%AB%E6%83%85%E5%9A%B4%E7%AB%A3-%E6%B9%96%E5%8C%97%E9%BB%83%E5%B2%A1%E5%AF%A6%E6%96%BD%E6%96%B0%E6%8E%AA%E6%96%BD-%E9%99%90%E5%88%B6%E5%B1%85%E6%B0%91%E5%A4%96%E5%87%BA","3.00","true"
"China","2020-02-02","2.00","true","2.00","true","16607","2.00","true","361","true","true","4.00","true","true","3.00","true","3.00","true"
